asset_id,kind,name,position,team,age,value
2,player,Bijan Robinson,RB,ATL,24,999.9
4,player,Ja'Marr Chase,WR,CIN,26,943.2
43,player,Breece Hall,RB,NYJ,25,889.8
14,player,CeeDee Lamb,WR,DAL,27,839.4
21,player,Saquon Barkley,RB,PHI,29,791.8
17,player,Justin Jefferson,WR,MIN,27,746.9
12,player,Amon-Ra St. Brown,WR,DET,26,704.6
3,player,Jahmyr Gibbs,RB,DET,24,664.7
102,player,Marvin Harrison,WR,ARI,23,627
30,player,Malik Nabers,WR,NYG,22,591.5
15,player,De'Von Achane,RB,MIA,24,558
52,player,Garrett Wilson,WR,NYJ,26,526.4
22,player,Drake London,WR,ATL,25,496.5
1,player,Josh Allen,QB,BUF,30,468.4
38,player,Patrick Mahomes,QB,KC,30,441.9
101,player,Sam LaPorta,TE,DET,25,440.4
18,player,Lamar Jackson,QB,BAL,29,416.8
28,player,Brock Bowers,TE,LV,23,415.4
16,player,Joe Burrow,QB,CIN,29,349.9
39,player,Jalen Hurts,QB,PHI,27,330.1
107,player,C.J. Stroud,QB,HOU,24,311.4
29,player,Nico Collins,WR,HOU,27,293.7
8,player,James Cook,RB,BUF,26,277.1
63,player,Zay Flowers,WR,BAL,25,261.4
40,player,Chris Olave,WR,NO,26,246.6
26,player,Trey McBride,TE,ARI,26,245.7
11,player,Kenneth Walker,RB,KC,25,232.6
35,player,Rashee Rice,WR,KC,26,207
41,player,Kyren Williams,RB,LAR,25,195.3
6,player,Jonathan Taylor,RB,IND,27,184.2
53,player,DeVonta Smith,WR,PHI,27,173.8
23,player,Caleb Williams,QB,CHI,24,163.9
95,player,DK Metcalf,WR,PIT,28,154.6
31,player,Josh Jacobs,RB,GB,28,145.9
224,player,Brandon Aiyuk,WR,SF,28,137.6
108,player,Dalton Kincaid,TE,BUF,26,137.1
60,player,Jaylen Waddle,WR,DEN,27,129.8
852,player,Tyreek Hill,WR,MIA,32,115.5
200,player,Isiah Pacheco,RB,DET,27,109
237,player,Tank Dell,WR,HOU,26,102.8
142,player,Travis Kelce,TE,KC,36,102.5
306,player,Anthony Richardson,QB,IND,24,97
93,player,Kyle Pitts,TE,ATL,25,96.7
32,player,Derrick Henry,RB,BAL,32,81.4
44,player,Travis Etienne,RB,NO,27,76.8
161,player,Rachaad White,RB,WAS,27,72.4
5,player,Drake Maye,QB,NE,23,68.3
70,player,David Montgomery,RB,HOU,29,64.5
126,player,Mark Andrews,TE,BAL,30,64.3
68,player,Davante Adams,WR,LAR,33,60.8
127,player,George Kittle,TE,SF,32,60.6
710,player,Evan Engram,TE,DEN,31,57.1
150,player,Jonathon Brooks,RB,CAR,23,48.2
888,player,Zack Moss,RB,CIN,27,45.4
86,player,Rico Dowdle,RB,PIT,28,42.8
889,player,Najee Harris,RB,PIT,28,40.4
407,player,Aaron Rodgers,QB,PIT,42,36
779,player,Pat Freiermuth,TE,PIT,27,35.8
